Master List of STAS USE Attributes

Version 2.0 Mon Mar 25 10:58:51 1996

================================================================================
            SEARCH FIELD NAME         |      SEARCH     | Z39.50   |   Z39.50  |
                                      |      FIELD      |bib-1 USE |  STAS USE |
                                      |      CODE       |Attribute | Attribute |
================================================================================
Abiotic Degradation                   | ABIO            |          | 3220      |
Absorption, Distribution and Excreti  | ADE             |          | 3222      |
  on                                  |                 |          |           |
Abstract                              | AB              | 62       |           |
Abstract Publication Date             | ABD             |          | 2564      |
Abstract Publication Year             | ABY             |          | 2565      |
Abstract-language                     |                 |          | 2985      |
Accession Number                      | AN              |          | 2010      |
Acentric Factor                       | ACEN            |          | 2821      |
Action Mechanism                      | ACTN            |          | 3221      |
Agency Status                         | ASTA            |          | 2822      |
Allowable Tolerance                   | ATOL            |          | 3223      |
Analytical Laboratory Method          | ALAB            |          | 3224      |
Antidote and Emergency Treatment      | ANTR            |          | 3225      |
Application                           | APP             |          | 3180      |
Application-kind-code                 |                 |          | 2986      |
Art Unit                              | ART(AU,ATRU)    |          | 2548      |
Artificial Sources                    | ARTS            |          | 3226      |
Assignee City                         | ASCI            |          | 2513      |
Assignee Country Code or ZIP          | ASCO            |          | 2515      |
Assignee Name                         | AS              |          | 2511      |
Assignee Name - Parsed                | ASN             |          | 2512      |
Assignee State                        | ASST            |          | 2514      |
Assignee Type Code                    | ASTC            |          | 2516      |
Assistant Examiner                    | XA              |          | 2558      |
Associated Chemical                   | ASC             |          | 3228      |
Associated Terms                      |                 |          | 2680      |
Atmospheric Standard                  | ASTD            |          | 3229      |
Atom Count                            | ATC             |          | 2049      |
Attorney Registration Number          | ATTN            |          | 2560      |
Attorney, Agent, or Firm              | ATT(LREP,AG)    |          | 2559      |
Author Biography                      | BA              |          | 2482      |
Author Name                           | AU              | 1003     |           |
Author Statement                      | AS              |          | 3065      |
Autoignition Temp.                    | AIT             |          | 2823      |
Autoignition Temperature Text         | AIT.TX          |          | 3230      |
Availability                          | AV              |          | 2824      |
Average Daily Intake                  | AVDI            |          | 3227      |
Basic Index                           | BI              |          | 2145      |
Basic Index and Abstract              | IA              |          | 2670      |
Beilstein Registry Number             | BRN             |          | 3346      |
Bibliographic Level                   | BL              | 1021     |           |
Bioconcentration                      | CBIO            |          | 3231      |
Biodegradation                        | BIOD            |          | 3232      |
Biological Half-life                  | BHL             |          | 3233      |
Bionecessity                          | BION            |          | 3234      |
Biosystematic                         | BC              |          | 2704      |
Biosystematic Code,                   | BCR             |          | 2706      |
Boiling Point (Derivative)            | BP.DRV          |          | 3181      |
Boiling Point - Pressure Derivative   | DTDP            |          | 3126      |
Boiling Point - Pressure Derivative   | DTDP.P          |          | 3127      |
  Pressure                            |                 |          |           |
Boiling Point - Pressure Derivative   | DTDP.T          |          | 3128      |
  Temperature                         |                 |          |           |
Boiling Point Pressure                | BP.P            |          | 3032      |
Boiling Point Pressure (Derivative)   | BP.P.DRV        |          | 3182      |
Boiling Point Text                    | BP.TX           |          | 3235      |
Bottom Boundary                       | BB              |          | 2722      |
Broader Term                          | BT              |          | 3026      |
California Proposition 65             | PROP65          |          | 2825      |
Cancer Review                         | CREV            |          | 2826      |
Caption                               | CP              |          | 2483      |
CAS Registry Number                   | RN              |          | 2048      |
Cataloguing Field                     | CF              |          | 3066      |
Catalyst                              | CAT             |          | 2827      |
Cell Type                             | CELL            |          | 2828      |
CERCLA Reportable Quantity            | CERCLA          |          | 3236      |
Character Count                       | CHC             |          | 2829      |
Charge                                | CHA             |          | 2830      |
Chemical - Medium                     | MED             |          | 3354      |
Chemical - Other                      | OTH             |          | 3355      |
Chemical - Special Agent              | SAG             |          | 3356      |
Chemical Exchange Format (CXF)        |                 |          | 2002      |
Chemical Hazard Info. Profile         | CHP             |          | 2831      |
Chemical Indexing                     | CHI             |          | 3067      |
Chemical Name                         | CN              |          | 2052      |
Chemical Name (Derivative)            | CN.DRV          |          | 3184      |
Chemical Name Segment                 | CNS             |          | 2053      |
Citizen's Petition - TSCA Sec. 21     | PET             |          | 2832      |
Classification                        |                 |          | 2987      |
Classification-basic                  |                 |          | 2988      |
Classification-local-record           |                 |          | 2989      |
Cleanup Method                        | CLUP            |          | 3237      |
Clinical Laboratory Method            | CLAB            |          | 3238      |
Code-enzyme                           |                 |          | 2990      |
Code-possessing-institution           |                 |          | 2991      |
Code-record-linking                   |                 |          | 2992      |
Code-record-status                    |                 |          | 2993      |
Code-treatment                        |                 |          | 2994      |
Coefficient Table Issue Date          | CTID            |          | 2834      |
Coefficient Table Revision Date       | CTRD            |          | 2833      |
Component Compound Number             | ACN             |          | 3357      |
Component Element Ratio, E1E2         | ELR.E1E2        |          | 2060-2600 |
Component Registry Number             | CRN             |          | 2055      |
Concentration in Animals              | CANM            |          | 3239      |
Concentration in Atmosphere           | CATM            |          | 3240      |
Concentration in Effluent             | CEFL            |          | 3241      |
Concentration in Environment          | COEV            |          | 3242      |
Concentration in Humans               | CHMN            |          | 3243      |
Concentration in Milk                 | CMLK            |          | 3244      |
Concentration in Plants               | CPLT            |          | 3245      |
Concentration in Seafood/Fish         | CSEA            |          | 3246      |
Concentration in Sediment/Soil        | CSED            |          | 3247      |
Concentration in Water                | CWAT            |          | 3248      |
Concept Code - Range Searchable       | CCR             |          | 2707      |
Confidentiality of Name               | CON             |          | 3358      |
Confidentiality Status                | CBI             |          | 2837      |
Connection Table (CAS CCT)            |                 |          | 2000      |
Connection Table (CXF Format)         |                 |          | 2003      |
Connection Table (MDL Format)         |                 |          | 2001      |
Consumption Pattern                   | CPAT            |          | 3249      |
Control-number-GKD                    |                 |          | 2995      |
Control-number-linking                |                 |          | 2996      |
Control-number-PND                    |                 |          | 2997      |
Control-number-SWD                    |                 |          | 2998      |
Control-number-ZDB                    |                 |          | 2999      |
Controlled Term                       | CT              | 29       |           |
Controlled Term (MeSH)                | CT              | 25       |           |
Controlled Term - Assigned            | CTA             |          | 2702      |
Controlled Term in German             | CTDE            |          | 3030      |
Controlled Word                       | CW              |          | 2671      |
Corporate Address                     | CA              |          | 2724      |
Corporate Code                        | COC             |          | 2725      |
Corporate Name                        | CO              | 2        |           |
Corporate Source                      | CS              | 1005     |           |
Correction Date                       | CDAT            |          | 2727      |
Corrosivity Text                      | CORR.TX         |          | 3251      |
Country of Author                     | CYA             |          | 2011      |
Country of Publication                | CY              |          | 2465      |
Critical Compress.                    | ZC              |          | 2838      |
Critical Constant                     | CRIT            |          | 3252      |
Critical Density                      | CRD             |          | 3129      |
Critical Pressure                     | CRP             |          | 2839      |
Critical Temp.                        | CRT             |          | 2840      |
Critical Volume                       | CRV             |          | 2841      |
Cross-reference                       | CR              |          | 3076      |
Crossover Key                         | CK              |          | 2473      |
Cryoscopic Constant                   | CRYC            |          | 3130      |
Cryoscopic Constant Temperature       | CRYC.T          |          | 3131      |
Crystal Property Description          | CPD             |          | 3033      |
