Master List of STAS Element Numbers

Version 2.0 Mon Mar 25 10:58:54 1996

=====================================================================
         RETRIEVAL FIELD NAME         |    RETRIEVAL    |    STAS   |
                                      |      FIELD      |  Element  |
                                      |      CODE       |  Number   |
=====================================================================
Abiotic Degradation                   | ABIO            | 3220      |
Absorption, Distribution and Excreti  | ADE             | 3222      |
  on                                  |                 |           |
Abstract                              | AB              | 62        |
Abstract Group Number                 | ABG             | 2595      |
Abstract in French                    | ABFR            | 3028      |
Abstract in German                    | ABDE            | 3029      |
Abstract Publication Date             | ABD             | 2564      |
Abstract Volume Number                | ABG             | 2596      |
Accession Number                      | AN              | 2010      |
Acentric Factor                       | ACEN            | 2821      |
Action Mechanism                      | ACTN            | 3221      |
Agency Status                         | ASTA            | 2822      |
Allowable Tolerance                   | ATOL            | 3223      |
Alloy Functional Category             | CAT1            | 2685      |
Alternate Molecular Formula           | AF              | 2138      |
Alternate Registry Number             | AR              | 2139      |
Analytical Laboratory Method          | ALAB            | 3224      |
Antidote and Emergency Treatment      | ANTR            | 3225      |
Application                           | APP             | 3180      |
Art Unit                              | ART(AU,ATRU)    | 2548      |
Artificial Sources                    | ARTS            | 3226      |
Assignee Name                         | AS(ASN)         | 2584      |
Assignee Name - Parsed                | ASN             | 2512      |
Assistant Examiner                    | XA              | 2558      |
Associated Chemical                   | ASC             | 3228      |
Atmospheric Standard                  | ASTD            | 3229      |
Attorney, Agent, or Firm              | ATT(LREP,AG)    | 2559      |
Author Biography                      | BA              | 2482      |
Author Name                           | AU              | 1003      |
Author Statement                      | AS              | 3065      |
Author Substance Name                 | ANM             | 2686      |
Autoignition Temp.                    | AIT             | 2823      |
Auxiliary Name Modification           | AMD             | 2687      |
Availability                          | AV              | 2824      |
Average Daily Intake                  | AVDI            | 3227      |
Beilstein Registry Number             | BRN             | 3346      |
Bibliographic Level                   | BL              | 1021      |
Bioconcentration                      | CBIO            | 3231      |
Biodegradation                        | BIOD            | 3232      |
Biological Half-life                  | BHL             | 3233      |
Bionecessity                          | BION            | 3234      |
Biosystematic                         | BC              | 2704      |
Boiling Point                         | BP              | 2494      |
Boiling Point (Derivative)            | BP.DRV          | 3181      |
Boiling Point - Pressure Derivative   | DTDP            | 3126      |
Broader Term                          | BT              | 3026      |
CA Index Name                         | IN              | 2140      |
California Proposition 65             | PROP65          | 2825      |
Cancer Review                         | CREV            | 2826      |
Caption                               | CP              | 2483      |
CAS Registry Number                   | RN              | 2048      |
CAS Registry Number (Derivative)      | RN.DRV          | 3183      |
Cataloguing Field                     | CF              | 3066      |
Cell Type                             | CELL            | 2828      |
CERCLA Reportable Quantity            | CERCLA          | 3236      |
Character Count                       | CHC             | 2829      |
Chemical - Medium                     | MED             | 3354      |
Chemical - Other                      | OTH             | 3355      |
Chemical - Special Agent              | SAG             | 3356      |
Chemical Exchange Format (CXF)        |                 | 2002      |
Chemical Hazard Info. Profile         | CHP             | 2831      |
Chemical Name                         | CN              | 2052      |
Chemical Name (Derivative)            | CN.DRV          | 3184      |
Citation                              | CIT             | 2723      |
Citizen's Petition - TSCA Sec. 21     | PET             | 2832      |
Cleanup Method                        | CLUP            | 3237      |
Clinical Laboratory Method            | CLAB            | 3238      |
CODEN                                 | CODEN           | 60        |
Coefficient Table Issue Date          | CTID            | 2834      |
Coefficient Table Revision Date       | CTRD            | 2833      |
Comment                               | CM              | 2469      |
Compact Chemical Name                 | CCN             | 2141      |
Compact Reaction and Reference        | CRDREF          | 2836      |
Compact Reaction Display              | CRD             | 2835      |
Component                             | COMPONENT       | 2681      |
Component Class Identifier            | CCI             | 2142      |
Component Compound Number             | ACN             | 3357      |
Component Isotope at Unknown Loc.     | CIL             | 2143      |
Component Molecular Formula           | CMF             | 2144      |
Component Registry Number             | CRN             | 2055      |
Component Text Descriptor             | CDES            | 2146      |
Composition (Derivative)              | COMP.DRV        | 3185      |
Composition Table                     | COMP            | 2480      |
Concentration in Animals              | CANM            | 3239      |
Concentration in Atmosphere           | CATM            | 3240      |
Concentration in Effluent             | CEFL            | 3241      |
Concentration in Environment          | COEV            | 3242      |
Concentration in Humans               | CHMN            | 3243      |
Concentration in Milk                 | CMLK            | 3244      |
Concentration in Plants               | CPLT            | 3245      |
Concentration in Seafood/Fish         | CSEA            | 3246      |
Concentration in Sediment/Soil        | CSED            | 3247      |
Concentration in Water                | CWAT            | 3248      |
Concept Group                         | CTGROUP         | 2717      |
Concept Heading                       | CTH             | 2688      |
Concept Heading Modifier              | MDF             | 2689      |
Confidentiality of Name               | CON             | 3358      |
Confidentiality Status                | CBI             | 2837      |
Connection Table (CAS CCT)            |                 | 2000      |
Connection Table (CXF Format)         |                 | 2003      |
Connection Table (MDL Format)         |                 | 2001      |
Consumption Pattern                   | CPAT            | 3249      |
Controlled Term                       | CT              | 29        |
Controlled Term (MeSH)                | CT              | 25        |
Controlled Term - Assigned            | CTA             | 2702      |
Controlled Term in German             | CTDE            | 3030      |
Copyright Statement                   |                 | 3353      |
Corporate Address                     | CA              | 2724      |
Corporate Information                 | COMP,ADR        | 3359      |
Corporate Name                        | CO              | 2         |
Corporate Source                      | CS              | 1005      |
Corrosivity                           | CORR            | 3250      |
Country of Author                     | CYA             | 2011      |
Country of Publication                | CY              | 2465      |
Critical Compress.                    | ZC              | 2838      |
Critical Constant                     | CRIT            | 3252      |
Critical Density                      | CRD             | 3129      |
Critical Pressure                     | CRP             | 2839      |
Critical Temp.                        | CRT             | 2840      |
Critical Volume                       | CRV             | 2841      |
Cross-reference                       | CR              | 3076      |
Crossover Key                         | CK              | 2473      |
Cryoscopic Constant                   | CRYC            | 3130      |
Crystal Property Description          | CPD             | 3033      |
Crystal Transition Point              | CTP             | 3110      |
Current Classification                | CCLS(CLS)       | 2541      |
CXF Without Coordinates               | NOCOORD         | 2675      |
CXF Without Coordinates with Scrambl  | CXFSCR          | 2701      |
  ed Bonds                            |                 |           |
Date                                  | DATE            | 2842      |
Decomposition                         | DCMP            | 3253      |
Definition                            | DEF             | 2056      |
Density                               | DEN             | 3034      |
Department                            | DPT             | 3360      |
Designated States                     | DS              | 2012      |
Detailed Description                  | DETD(EMB)       | 2579      |
Development Status                    | DSTA            | 2728      |
Diagnostic Message                    |                 | 2673      |
Dipole Moment                         | DM              | 2843      |
Disclaimer Date                       | DD              | 2517      |
Disposal Method                       | DSM             | 3254      |
Dissociation Constant                 | DISK            | 3255      |
Document Number                       | DN              | 2484      |
Document Type                         | DT(TC)          | 2013      |
Dose Form                             | DOSFM           | 3077      |
Dose Information (Derivative)         | DOSE.DRV        | 3186      |
DOT Emergency Guideline               | DOTG            | 3257      |
DOWNLOAD Format: ALCHEMY              | ALCHEMY         | 2475      |
DOWNLOAD Format: MDL                  | MDL             | 2476      |
DOWNLOAD Format: SYBYL                | SYBYL           | 2477      |
Drawing Description                   | DRWD(DRW)       | 2580      |
Drug Idiosyncrasy                     | IDIO            | 3258      |
Drug Tolerance                        | TOLR            | 3259      |
DUNS Number                           | DUNS            | 2708      |
DuPont Compound Number                | CNUM            | 3361      |
DuPont Name                           | DUP             | 3362      |
Duration Begin, Year                  | DBY             | 3082      |
Duration End, Year                    | DEY             | 3083      |
Duration Note                         | DUN             | 3084      |
Dynamic Viscosity                     | DV              | 3133      |
Effect                                | EFF             | 2847      |
Element Terms ET                      |                 | 3027      |
EMAIL Address                         | EML             | 3363      |
Enthalpy                              | HREF            | 3111      |
Enthalpy Function                     | HFNC            | 3135      |
Enthalpy of Combustion                | HCOM            | 2848      |
Enthalpy of Formation                 | HFOR            | 2849      |
Enthalpy of Fusion                    | HFUS            | 2850      |
Enthalpy of Fusion-Temperature Deriv  | DHFDT           | 3141      |
  ative                               |                 |           |
Enthalpy of Phase Transition          | HPT             | 3144      |
Enthalpy of Phase Transition-Tempera  | DHTDT           | 3147      |
  ture Derivative                     |                 |           |
Enthalpy of Sublimation               | HSUB            | 3150      |
Enthalpy of Sublimation-Temperature   | DHSDT           | 3153      |
  Derivative                          |                 |           |
Enthalpy of Vaporization              | HVAP            | 2852      |
Enthalpy of Vaporization-Temperature  | DHVDT           | 3158      |
   Derivative                         |                 |           |
Entropy                               | SREF            | 2853      |
Entropy of Fusion                     | SFUS            | 3161      |
Entropy of Phase Transition           | SPT             | 3164      |
Entropy of Sublimation                | SSUB            | 3167      |
Entropy of Vaporization               | SVAP            | 3170      |
Entry Month                           | EM              | 2466      |
Environmental Fate                    | ENVF            | 3261      |
Environmental Fate/Exposure Summary   | ENVS            | 3262      |
EPA Action on Rule Violation          | VIO             | 2846      |
EPA Hazard Waste Number               | HZN             | 3263      |
Examiner Name                         | EXNAM           | 2730      |
Exemplary Claim                       | ECLM            | 2731      |
Exemplary Claim Number                | ECL             | 2581      |
Exemption from PMN                    | 5H(EXM)         | 2854      |
Expiration Date                       | XPD             | 3088      |
Explosiveness                         | EXPL            | 3266      |
Exports                               | EXPT            | 3267      |
Extension Date                        | XTD             | 3089      |
Family Information                    | FI              | 2732      |
Family Member Country                 | FC              | 2733      |
Family Member Date                    | FD              | 2734      |
Family Member Number                  | FN              | 2735      |
Family Member Year                    | FY              | 2736      |
Family Name                           | FN              | 2855      |
FDA Requirements                      | FDA             | 3270      |
Field of Search Classification        | EXF(FS)         | 2552      |
Field Qualifier                       | FQ              | 3344      |
FIFRA Requirement                     | FIFRA           | 3271      |
File Segment                          | FS              | 2078      |
Fire Fighting Hazard                  | FFH             | 3272      |
Fire Fighting Procedure               | FIRP            | 3273      |
Fire Potential                        | FPOT            | 3274      |
Flammability                          | FLAM            | 3275      |
Flammability Limit, Lower             | FLAM.LL         | 2856      |
Flammability Limit, Upper             | FLAM.UL         | 2857      |
Flash Point                           | FP              | 2858      |
Food Survey Value                     | FOOD            | 3277      |
Foreign Patent Reference              | FREF            | 2554      |
Foreign Priority                      | PRIR            | 2582      |
Formula Weight                        | FW(MW)          | 2079      |
Fragment Code, IFI                    | FG              | 2738      |
Full Chemical Names (all CN's)        | FCN             | 2149      |
Functional Category                   | CAT             | 2690      |
Funding                               | FU              | 3087      |
GenBank Accession Number              | GBN             | 3079      |
Gene Name                             | GEN             | 2080      |
General Polymer Number                | GPN             | 3364      |
Geographic Term                       | GT              | 58        |
Gibbs Energy Function                 | GEF             | 3115      |
Gibbs Energy of Formation             | GFOR            | 2866      |
Glass Temperature                     | TG              | 3173      |
Government Interest                   | GOVI(GI)        | 2561      |
Graphic Image                         | GI              | 2474      |
Hazard Summary                        | HAZS            | 3278      |
Heading Parent                        | PAR             | 2691      |
Health Advisory                       | HA              | 2868      |
Heat Capacity at Const. Press.        | CP              | 2869      |
Heat Capacity at Saturation           | CSAT            | 3175      |
Highest Development Phase             | HDP             | 2871      |
Hit Compact Reaction Display          | HIT.CRD         | 3351      |
Hit Count                             | HIT.CNT         | 3349      |
Hit Reaction                          | HIT.RXN         | 3350      |
Hit Substance Coordinates             | HIT.COORD       | 3352      |
HODOC Number                          | HN              | 3036      |
Homograph Definition                  | HOM             | 2692      |
HP Related Fields                     | HPGROUP         | 2867      |
HSDB Number                           | HSN             | 3281      |
Human Toxicity                        | HTOX            | 3279      |
Human Toxicity Excerpt                | HTXE            | 3280      |
Imminently Hazard.-TSCA Sec. 7        | IMM             | 2872      |
Import-Export Reg.                    | IER             | 2873      |
Imports                               | IMPT            | 3282      |
Impurities                            | IMP             | 3285      |
Index Term                            | IT              | 2046      |
Information Provider                  | IP              | 3068      |
Ingestion Level                       | INGL            | 3286      |
Insufficient Data Order               | 5E(INS)         | 2874      |
Int. Patent Classification            | IPC             | 2535      |
Interagency Testing Comm. Candidate   | ICC             | 2876      |
Interagency Testing Committee         | ITC(4E)         | 2877      |
International Research Program        | IRP             | 2739      |
International Standard (Document) Nu  | ISN             | 2672      |
  mber                                |                 |           |
Inventor Address                      | INA             | 2813      |
Inventor Name                         | IN(INV)         | 2506      |
Inventory Status                      | INV             | 2878      |
IPC                                   | IC              | 2016      |
IPC, Additional                       | ICA             | 2017      |
IPC, Index                            | ICI             | 2018      |
IPC, Main                             | ICM             | 2019      |
IPC, Secondary                        | ICS             | 2020      |
IR Spectrum                           | IRS             | 3037      |
Irritation Data                       | IRR             | 2880      |
Isotope at Unknown Location           | IL              | 2150      |
ISSN                                  | ISSN            | 8         |
Issue                                 | IS(ISSUE)       | 2485      |
Issue Classification                  | ICLS            | 2536      |
Issue National Pat. Classification    | INCL            | 2800      |
Issue National Pat. Classification,   | INCLM           | 2983      |
  Main                                |                 |           |
Issue National Pat. Classification,   | INCLS           | 2984      |
  Secondary                           |                 |           |
IT Related Fields                     | ITGROUP         | 2682      |
IT with Hit                           | ITSTR           | 2684      |
JANAF Number                          | JN              | 3118      |
Journal Title                         | JT              | 2467      |
Journal Title Code                    | JTC             | 2471      |
Journal Title, Abbreviated            | JTA             | 3075      |
Journal Title, Full                   | JTF             | 3052      |
Keyword                               | KEY             | 2563      |
Language                              | LA              | 54        |
Latest Information                    | LI              | 2882      |
Launch Country                        | LNC             | 2883      |
Launch Date                           | LND             | 2884      |
Launch Package/Price                  | LNP             | 3078      |
Level                                 | LV              | 3106      |
Librarylogogram                       | SG              | 3074      |
Licensee                              | LICENSEE        | 2743      |
Line Count                            | LN.CNT          | 2803      |
Line Formula                          | LNF             | 2693      |
Linear Structural Formula             | LSF             | 2891      |
Linear Structural Formula (Derivativ  | LSF.DRV         | 3188      |
  e)                                  |                 |           |
Link                                  | LNKGROUP        | 3367      |
Linked Terms                          | LT              | 2703      |
Location[Corporate]                   | LO              | 2023      |
Locus                                 | LOC             | 3080      |
Logarithm of the Equilibrium Constan  | LOGK            | 3120      |
  t of Formation                      |                 |           |
Major Populations Threatened          | MPT             | 3287      |
Manuscript Date                       | MS              | 2486      |
Map Coordinates                       | MAPC            | 2744      |
Markush Structure                     | MSTR            | 2892      |
Mass Spectrum                         | MS              | 3039      |
Maximum Allowable Concentration       | MACC            | 3288      |
Maximum Drug Dose                     | MXDD            | 3291      |
Medical Surveillance                  | MEDS            | 3292      |
Meeting Date                          | MD              | 2713      |
Meeting Number                        | MN              | 3069      |
Meeting Year                          | MY              | 2714      |
Melting Point                         | MP              | 2893      |
Melting Point (Derivative)            | MP.DRV          | 3190      |
Merck Index Name                      | MIN             | 3219      |
Merck Number                          | MNO             | 3218      |
Metabolism-Metabolite                 | METB            | 3294      |
Method of Manufacture                 | MMFG            | 3295      |
Microform Frame Number                | MFN             | 3091      |
Microform Reel Number                 | MRN             | 3090      |
Minimum Fatal Dose                    | MFD             | 3296      |
Miscellaneous Regulation              | MISC            | 2894      |
Molar Density                         | MDEN            | 2895      |
Molar Volume                          | MVOL            | 2897      |
Molecular Formula                     | MF              | 2085      |
Molecular Formula (Derivative)        | MF.DRV          | 3192      |
Molecular Weight (Derivative)         | MW.DRV          | 3193      |
Name Identifier Number                | NID             | 3368      |
Name Modification                     | MOD             | 2694      |
Named Person                          | NA              | 1002      |
Narrower Term                         | NT              | 3107      |
